Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
8.0,Sun,2017-10-01,15:00,Troyes,Saint-Étienne,0.8,1.2,2–1,11823.0,Nicolas Rainville,2017-2018,83
8.0,Sun,2017-10-01,17:00,Angers,Lyon,1.1,1.4,3–3,11432.0,Mikael Lesage,2017-2018,84
8.0,Sun,2017-10-01,21:00,Nice,Marseille,2.0,2.6,2–4,32702.0,Benoît Bastien,2017-2018,85
9.0,Fri,2017-10-13,20:45,Lyon,Monaco,1.7,1.7,3–2,43295.0,Benoît Bastien,2017-2018,87
9.0,Sat,2017-10-14,17:00,Dijon,Paris S-G,0.9,2.2,1–2,15160.0,Jérôme Miguelgorry,2017-2018,88
9.0,Sat,2017-10-14,20:00,Toulouse,Amiens,1.2,0.3,1–0,15308.0,François Letexier,2017-2018,89
9.0,Sat,2017-10-14,20:00,Lille,Troyes,1.3,1.5,2–2,29518.0,Hakim Ben El Hadj Salem,2017-2018,90
9.0,Sat,2017-10-14,20:00,Guingamp,Rennes,3.2,0.5,2–0,15902.0,Franck Schneider,2017-2018,91
9.0,Sat,2017-10-14,20:00,Caen,Angers,1.7,1.8,0–2,16736.0,Benoît Millot,2017-2018,92
9.0,Sat,2017-10-14,20:00,Saint-Étienne,Metz,2.2,0.4,3–1,24613.0,Olivier Thual,2017-2018,93
9.0,Sun,2017-10-15,15:00,Bordeaux,Nantes,1.1,1.1,1–1,31048.0,Karim Abed,2017-2018,94
9.0,Sun,2017-10-15,17:00,Montpellier,Nice,1.3,2.0,2–0,14374.0,Jérôme Brisard,2017-2018,95
9.0,Sun,2017-10-15,21:00,Strasbourg,Marseille,2.0,3.1,3–3,26015.0,Antony Gautier,2017-2018,96
10.0,Fri,2017-10-20,20:45,Saint-Étienne,Montpellier,1.5,1.8,0–1,24004.0,Franck Schneider,2017-2018,98
10.0,Sat,2017-10-21,17:00,Monaco,Caen,2.3,0.5,2–0,8040.0,Thomas Léonard,2017-2018,99
10.0,Sat,2017-10-21,20:00,Rennes,Lille,0.7,0.7,1–0,21852.0,Olivier Thual,2017-2018,100
10.0,Sat,2017-10-21,20:00,Metz,Dijon,1.0,0.5,1–2,14748.0,Mikael Lesage,2017-2018,101
10.0,Sat,2017-10-21,20:00,Nantes,Guingamp,0.7,0.9,2–1,27711.0,Amaury Delerue,2017-2018,102
10.0,Sat,2017-10-21,20:00,Angers,Toulouse,1.5,0.2,0–1,11001.0,Johan Hamel,2017-2018,103
10.0,Sat,2017-10-21,20:00,Amiens,Bordeaux,1.1,1.1,1–0,12297.0,Sébastien Desiage,2017-2018,104
10.0,Sun,2017-10-22,15:00,Nice,Strasbourg,1.9,1.1,1–2,23595.0,Nicolas Rainville,2017-2018,105
10.0,Sun,2017-10-22,17:00,Troyes,Lyon,0.4,2.6,0–5,14722.0,François Letexier,2017-2018,106
10.0,Sun,2017-10-22,21:00,Marseille,Paris S-G,1.2,0.6,2–2,60410.0,Ruddy Buquet,2017-2018,107
11.0,Fri,2017-10-27,20:45,Paris S-G,Nice,3.1,0.3,3–0,47224.0,Tony Chapron,2017-2018,109
11.0,Sat,2017-10-28,17:00,Bordeaux,Monaco,1.6,1.3,0–2,28831.0,Antony Gautier,2017-2018,110
11.0,Sat,2017-10-28,20:00,Dijon,Nantes,0.4,1.1,1–0,11764.0,Hakim Ben El Hadj Salem,2017-2018,111
11.0,Sat,2017-10-28,20:00,Montpellier,Rennes,0.9,0.6,0–1,11790.0,Benoît Bastien,2017-2018,112
