,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Lars Bender,Davy Klaassen,(3-4-1-2),(4-1-2-1-2),62%,38%,481 of 598 — 80%,74% — 271 of 368,4 of 24 — 17%,27% — 3 of 11,1 of 3 — 33%,75% — 3 of 4,2.0,0,1.0,0,14,13,10,1,53,9,710,515,15,17,14,14,12,13,9,43,2,0,9,12,27,22,81,46
0,Josuha Guilavogui,Daniel Baier,(3-4-3),(4-4-2),57%,43%,362 of 503 — 72%,68% — 262 of 386,3 of 14 — 21%,50% — 5 of 10,5 of 5 — 100%,100% — 3 of 3,0.0,0,0.0,0,14,14,5,3,25,14,594,516,17,20,6,17,24,18,15,29,3,1,8,12,31,26,85,87
0,Yann Sommer,David Abraham,(4-3-3),(3-1-4-2),49%,51%,339 of 463 — 73%,72% — 349 of 487,6 of 13 — 46%,20% — 3 of 15,1 of 3 — 33%,33% — 2 of 6,1.0,0,1.0,0,13,15,5,6,15,35,593,607,19,22,14,14,24,19,19,15,1,4,10,5,25,26,73,92
0,Kevin Vogt,Sebastian Schonlau,(3-1-4-2),(4-1-4-1),63%,37%,766 of 822 — 93%,86% — 409 of 474,7 of 12 — 58%,22% — 2 of 9,2 of 2 — 100%,57% — 4 of 7,0.0,0,1.0,0,7,12,4,4,14,12,917,559,17,20,9,6,5,2,12,11,2,1,6,6,26,13,54,42
0,Kevin Volland,Yann Sommer,(4-2-3-1),(3-5-2),60%,40%,498 of 631 — 79%,73% — 301 of 412,7 of 25 — 28%,60% — 6 of 10,4 of 6 — 66%,85% — 6 of 7,2.0,1,1.0,0,13,9,13,0,42,9,760,563,23,25,15,15,24,16,8,43,3,4,3,15,26,25,77,73
0,Davy Klaassen,Christian Günter,(4-3-3),(4-4-2),46%,54%,374 of 472 — 79%,83% — 459 of 555,10 of 21 — 48%,23% — 3 of 13,1 of 3 — 33%,80% — 8 of 10,3.0,0,5.5,0,18,10,5,0,12,18,591,691,18,18,13,14,23,18,17,21,0,2,9,7,20,22,66,65
0,Diego Demme,Jean-Paul Boëtius,(4-4-2),(4-1-2-1-2),67%,33%,675 of 776 — 87%,73% — 282 of 388,12 of 18 — 67%,22% — 2 of 9,2 of 2 — 100%,33% — 4 of 12,0.0,0,1.0,0,11,7,3,4,21,9,888,495,11,14,11,13,6,10,16,17,0,2,6,10,18,22,50,56
0,David Abraham,Manuel Neuer,(3-1-4-2),(4-2-3-1),40%,60%,328 of 428 — 77%,84% — 540 of 640,10 of 17 — 59%,38% — 3 of 8,2 of 3 — 66%,50% — 5 of 10,1.0,0,2.0,1,14,7,3,0,15,10,521,733,17,11,18,12,18,10,10,12,2,3,6,5,17,21,79,69
0,Marco Reus,Josuha Guilavogui,(4-2-3-1),(3-4-3),64%,36%,565 of 683 — 83%,74% — 283 of 382,7 of 16 — 44%,25% — 3 of 12,3 of 3 — 100%,71% — 5 of 7,1.0,0,3.0,0,12,19,7,2,17,11,784,521,15,19,5,20,7,14,13,27,1,2,7,8,20,22,68,67
0,Christopher Trimmel,Vedad Ibišević,(3-4-3),(4-2-3-1),54%,46%,371 of 507 — 73%,72% — 308 of 425,5 of 13 — 38%,43% — 3 of 7,3 of 3 — 100%,100% — 5 of 5,1.0,0,1.0,0,14,10,1,4,19,18,597,534,13,10,8,13,22,25,16,23,3,1,6,5,34,27,105,86
