Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season
21.0,Sun,2021-01-31,16:15,Cádiz,Atlético Madrid,1.2,1.9,2–4,,Jesús Gil,2020-2021
21.0,Sun,2021-01-31,18:30,Granada,Celta Vigo,0.3,0.6,0–0,,Carlos del Cerro,2020-2021
21.0,Sun,2021-01-31,21:00,Barcelona,Athletic Club,1.9,0.3,2–1,,Antonio Matéu Lahoz,2020-2021
21.0,Mon,2021-02-01,21:00,Betis,Osasuna,1.5,1.4,1–0,,Hsu Jason,2020-2021
22.0,Fri,2021-02-05,21:00,Alavés,Valladolid,1.5,0.1,1–0,,César Soto,2020-2021
22.0,Sat,2021-02-06,14:00,Levante,Granada,1.4,1.2,2–2,,Adrián Cordero,2020-2021
22.0,Sat,2021-02-06,16:15,Huesca,Real Madrid,1.0,3.4,1–2,,Daniel Ask,2020-2021
22.0,Sat,2021-02-06,18:30,Elche,Villarreal,1.3,1.4,2–2,,Mario Melero,2020-2021
22.0,Sat,2021-02-06,21:00,Sevilla,Getafe,2.2,0.2,3–0,,Juan Martínez,2020-2021
22.0,Sun,2021-02-07,14:00,Real Sociedad,Cádiz,4.6,0.5,4–1,,Valentín Pizarro,2020-2021
22.0,Sun,2021-02-07,16:15,Athletic Club,Valencia,1.2,0.9,1–1,,José Luis Munuera,2020-2021
22.0,Sun,2021-02-07,18:30,Osasuna,Eibar,1.7,1.2,2–1,,Jorge Figueroa,2020-2021
22.0,Sun,2021-02-07,21:00,Betis,Barcelona,1.8,1.3,2–3,,Carlos del Cerro,2020-2021
22.0,Mon,2021-02-08,21:00,Atlético Madrid,Celta Vigo,1.2,1.5,2–2,,Guillermo Cuadra,2020-2021
1.0,Tue,2021-02-09,21:00,Real Madrid,Getafe,1.6,0.1,2–0,,Hsu Jason,2020-2021
23.0,Fri,2021-02-12,21:00,Celta Vigo,Elche,2.1,1.1,3–1,,Ricardo de Burgos,2020-2021
23.0,Sat,2021-02-13,14:00,Granada,Atlético Madrid,0.7,0.7,1–2,,Antonio Matéu Lahoz,2020-2021
23.0,Sat,2021-02-13,16:15,Sevilla,Huesca,1.5,1.3,1–0,,David Medié,2020-2021
23.0,Sat,2021-02-13,18:30,Eibar,Valladolid,2.5,1.0,1–1,,Isidro Díaz de Mera,2020-2021
23.0,Sat,2021-02-13,21:00,Barcelona,Alavés,2.4,0.7,5–1,,Jorge Figueroa,2020-2021
23.0,Sun,2021-02-14,14:00,Getafe,Real Sociedad,0.4,1.0,0–1,,Pablo González,2020-2021
23.0,Sun,2021-02-14,16:15,Real Madrid,Valencia,0.8,0.1,2–0,,José Sánchez,2020-2021
23.0,Sun,2021-02-14,18:30,Levante,Osasuna,1.5,0.7,0–1,,Santiago Jaime,2020-2021
23.0,Sun,2021-02-14,21:00,Villarreal,Betis,1.3,1.0,1–2,,Jesús Gil,2020-2021
23.0,Mon,2021-02-15,21:00,Cádiz,Athletic Club,0.5,2.2,0–4,,Alejandro Hernández,2020-2021
2.0,Wed,2021-02-17,19:00,Levante,Atlético Madrid,0.6,1.1,1–1,,José Luis Munuera,2020-2021
24.0,Fri,2021-02-19,21:00,Betis,Getafe,2.6,0.4,1–0,,Daniel Ask,2020-2021
24.0,Sat,2021-02-20,14:00,Elche,Eibar,0.4,1.8,1–0,,Adrián Cordero,2020-2021
24.0,Sat,2021-02-20,16:15,Atlético Madrid,Levante,2.1,0.8,0–2,,Mario Melero,2020-2021
24.0,Sat,2021-02-20,18:30,Valencia,Celta Vigo,1.2,0.7,2–0,,Valentín Pizarro,2020-2021
24.0,Sat,2021-02-20,21:00,Valladolid,Real Madrid,1.0,0.8,0–1,,Guillermo Cuadra,2020-2021
24.0,Sun,2021-02-21,14:00,Barcelona,Cádiz,2.2,1.4,1–1,,Juan Martínez,2020-2021
24.0,Sun,2021-02-21,16:15,Real Sociedad,Alavés,2.4,0.8,4–0,,José Luis Munuera,2020-2021
24.0,Sun,2021-02-21,18:30,Huesca,Granada,2.3,1.0,3–2,,César Soto,2020-2021
