Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
6.0,Mon,2019-09-30,20:45,Parma,Torino,3.6,2.2,3–2,15001.0,Federico La Penna,2019-2020,Bruno Alves,Andrea Belotti,(4-3-3),(3-4-3),51%,49%,336 of 434 — 77%,78% — 322 of 414,4 of 20 — 20%,71% — 5 of 7,4 of 5 — 80%,25% — 1 of 4,2.0,0,4.5,0,17,14,7,3,28,22,536,547,12,23,8,13,21,16,16,30,0,0,4,15,30,14,82,80
7.0,Sat,2019-10-05,15:00,SPAL,Parma,1.2,0.4,1–0,11776.0,Marco Guida,2019-2020,Sergio Floccari,Bruno Alves,(3-5-2),(4-3-3),47%,53%,284 of 389 — 73%,74% — 320 of 431,7 of 16 — 44%,13% — 1 of 8,1 of 1 — 100%,85% — 6 of 7,6.5,0,2.0,0,10,13,5,8,24,18,489,520,11,12,15,4,10,18,17,28,1,4,4,7,25,32,78,93
7.0,Sat,2019-10-05,18:00,Hellas Verona,Sampdoria,0.7,0.8,2–0,17787.0,Michael Fabbri,2019-2020,Miguel Veloso,Fabio Quagliarella,(3-4-1-2),(3-5-2),48%,52%,264 of 403 — 66%,69% — 298 of 431,3 of 8 — 38%,14% — 2 of 14,2 of 2 — 100%,66% — 2 of 3,1.0,0,3.0,0,14,15,9,4,24,16,525,551,20,16,9,11,19,22,19,19,3,4,11,5,37,32,76,75
7.0,Sat,2019-10-05,20:45,Genoa,Milan,1.6,1.6,1–2,22486.0,Maurizio Mariani,2019-2020,Domenico Criscito,Alessio Romagnoli,(3-4-1-2),(4-3-3),51%,49%,380 of 472 — 81%,83% — 376 of 454,5 of 13 — 38%,63% — 5 of 8,4 of 5 — 80%,80% — 4 of 5,4.0,2,5.5,1,23,14,7,0,24,8,554,559,6,13,10,7,16,8,11,20,3,1,3,7,24,19,73,59
7.0,Sun,2019-10-06,12:30,Fiorentina,Udinese,1.1,0.9,1–0,37963.0,Alessandro Prontera,2019-2020,Germán Pezzella,Rodrigo De Paul,(3-5-2),(3-5-2),50%,50%,381 of 472 — 81%,76% — 361 of 473,4 of 16 — 25%,13% — 1 of 8,1 of 1 — 100%,75% — 3 of 4,1.0,0,2.0,0,9,11,12,3,16,20,590,565,15,19,9,10,14,6,26,17,0,0,6,11,15,22,66,60
7.0,Sun,2019-10-06,15:00,Bologna,Lazio,3.2,1.8,2–2,22052.0,Daniele Orsato,2019-2020,Andrea Poli,Senad Lulić,(4-2-3-1),(3-5-2),52%,48%,374 of 475 — 79%,75% — 324 of 434,8 of 18 — 44%,40% — 4 of 10,2 of 4 — 50%,75% — 6 of 8,5.0,1,5.5,0,13,16,5,4,19,17,585,532,14,13,9,11,11,23,16,18,2,1,10,10,22,21,57,70
7.0,Sun,2019-10-06,15:00,Atalanta,Lecce,3.4,1.3,3–1,20771.0,Marco Di Bello,2019-2020,Papu Gómez,Marco Mancosu,(3-4-1-2),(4-3-1-2),57%,43%,524 of 614 — 85%,79% — 358 of 456,15 of 30 — 50%,29% — 2 of 7,1 of 2 — 50%,80% — 12 of 15,2.0,0,3.0,0,15,13,9,5,18,17,743,567,17,17,12,13,11,12,14,22,0,2,3,14,21,21,53,63
7.0,Sun,2019-10-06,15:00,Roma,Cagliari,1.7,1.1,1–1,34385.0,Davide Massa,2019-2020,Edin Džeko,Luca Ceppitelli,(4-2-3-1),(4-3-1-2),66%,34%,520 of 621 — 84%,68% — 216 of 318,6 of 21 — 29%,14% — 1 of 7,1 of 1 — 100%,100% — 6 of 6,1.0,0,4.0,0,18,11,7,1,20,9,721,437,15,14,15,10,33,18,7,27,1,1,5,13,19,19,89,69
7.0,Sun,2019-10-06,18:00,Torino,Napoli,0.6,0.9,0–0,24343.0,Daniele Doveri,2019-2020,Andrea Belotti,Lorenzo Insigne,(4-2-3-1),(4-3-3),40%,60%,272 of 378 — 72%,82% — 469 of 574,4 of 12 — 33%,19% — 3 of 16,3 of 3 — 100%,100% — 4 of 4,1.0,0,2.0,0,11,12,4,5,18,17,511,684,19,16,14,15,12,16,20,15,2,1,12,9,26,27,86,43
7.0,Sun,2019-10-06,20:45,Inter,Juventus,1.6,1.5,1–2,75923.0,Gianluca Rocchi,2019-2020,Samir Handanović,Leonardo Bonucci,(3-5-2),(4-3-1-2),51%,49%,432 of 531 — 81%,84% — 428 of 510,2 of 9 — 22%,33% — 6 of 18,4 of 6 — 66%,100% — 2 of 2,2.0,0,3.0,0,22,9,7,2,21,14,634,628,15,11,12,11,6,10,13,18,2,2,7,6,22,23,62,60
