,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Achraf Hakimi,Corentin Tolisso,(4-3-3),(4-1-4-1),68%,32%,697 of 774 — 90%,79% — 294 of 370,5 of 12 — 42%,43% — 3 of 7,2 of 3 — 66%,60% — 3 of 5,2.0,0.0,3.0,0.0,7,8,4,3,13,14,876,479,16,13,7,8,9,2,22,18,2,3,3,6,20,11,57,48
0,Thilo Kehrer,Marquinhos,(4-2-3-1),(4-3-3),40%,60%,325 of 407 — 80%,85% — 528 of 621,4 of 14 — 29%,65% — 11 of 17,7 of 11 — 63%,75% — 3 of 4,2.0,0.0,0.0,0.0,11,11,1,9,7,18,556,735,31,16,10,12,5,10,29,17,3,1,5,7,12,26,51,80
0,Youssouf Ndayishimiye,Steve Mandanda,(4-2-3-1),(3-4-3),47%,53%,350 of 457 — 77%,81% — 425 of 523,6 of 9 — 67%,50% — 5 of 10,3 of 5 — 60%,50% — 3 of 6,3.0,1.0,3.0,0.0,11,14,3,3,12,16,560,633,21,12,14,18,9,13,21,22,4,0,7,6,24,18,61,57
0,Gautier Larsonneur,Marshall Munetsi,(4-3-3),(4-3-3),53%,47%,463 of 562 — 82%,80% — 406 of 505,4 of 14 — 29%,9% — 1 of 11,0 of 1 — 0%,25% — 1 of 4,2.0,0.0,1.0,0.0,19,10,6,9,10,33,674,617,20,10,12,10,14,12,43,16,1,0,9,6,17,23,63,51
0,Benjamin André,Pedro Chirivella,(4-2-3-1),(4-1-4-1),71%,29%,671 of 764 — 88%,75% — 238 of 316,3 of 13 — 23%,20% — 1 of 5,1 of 1 — 100%,66% — 2 of 3,1.0,0.0,2.0,0.0,6,10,2,0,22,6,863,443,17,17,6,11,16,7,14,36,1,1,3,10,23,18,54,65
0,Alexandre Lacazette,Jordan Ferri,(4-3-3),(3-4-3),57%,43%,463 of 551 — 84%,78% — 327 of 418,1 of 12 — 8%,38% — 6 of 16,6 of 6 — 100%,100% — 1 of 1,1.0,0.0,2.0,0.0,8,10,3,5,19,22,675,553,15,21,6,9,12,10,38,31,1,0,7,7,19,30,34,71
0,Florian Sotoca,Gabriel Suazo,(4-2-3-1),(3-4-3),66%,34%,464 of 573 — 81%,76% — 228 of 301,1 of 14 — 7%,43% — 3 of 7,3 of 3 — 100%,100% — 1 of 1,5.0,1.0,2.0,0.0,20,12,7,1,38,9,677,457,14,24,4,9,11,6,11,54,0,0,4,8,18,11,44,51
0,Habib Diarra,Jubal,(4-4-2),(3-4-3),60%,40%,498 of 579 — 86%,78% — 297 of 382,3 of 10 — 30%,50% — 7 of 14,6 of 7 — 85%,33% — 1 of 3,1.0,0.0,2.0,0.0,10,13,4,3,15,19,699,493,20,19,6,8,7,7,21,26,1,0,8,6,17,14,43,64
0,Himad Abdelli,Brendan Chardonnet,(4-2-3-1),(4-3-3),39%,61%,280 of 374 — 75%,82% — 489 of 593,2 of 7 — 29%,33% — 4 of 12,4 of 4 — 100%,0% — 0 of 2,2.0,0.0,1.0,0.0,14,11,2,4,17,31,480,687,13,19,12,4,15,19,29,15,1,1,13,6,20,20,75,59
0,Leonardo Balerdi,Abdoulaye Touré,(3-4-3),(3-5-2),70%,30%,880 of 951 — 93%,84% — 346 of 411,8 of 15 — 53%,25% — 1 of 4,0 of 1 — 0%,37% — 3 of 8,1.0,0.0,0.0,0.0,12,6,4,0,17,4,1038,517,14,22,7,9,9,7,7,31,0,3,2,9,13,8,35,40
